CustomerID,Recency,Frequency,Monetary,Cluster
12347,96.0,7,4310.0,1
12348,221.0,4,1797.24,0
12350,312.0,1,334.4,2
12352,275.0,8,2506.04,1
12355,97.0,1,459.4,0
12356,129.0,3,2811.43,0
12357,183.0,1,6207.67,0
12358,4.0,2,1168.06,0
12359,10.0,4,6372.58,1
12362,31.0,10,5226.23,1
12363,37.0,2,552.0,0
12364,302.0,4,1313.1,2
12367,213.0,1,168.9,2
12370,69.0,4,3545.69,1
12371,31.0,2,1887.96,0
12372,36.0,3,1298.04,0
12373,343.0,1,364.6,2
12375,305.0,2,457.5,2
12378,306.0,1,4008.62,2
12380,158.0,4,2724.81,1
12381,1.0,5,1845.31,1
12383,10.0,5,1850.56,1
12384,30.0,2,585.27,0
12386,193.0,2,401.9,0
12388,99.0,6,2780.66,1
12393,40.0,4,1582.6000000000001,0
12394,154.0,2,1272.48,0
12395,6.0,12,3018.63,1
12397,244.0,2,2409.9,0
12399,3.0,4,1108.65,0
12401,100.0,1,84.3,0
12406,96.0,2,3415.3,0
12407,187.0,5,1708.1200000000001,1
12408,153.0,5,2888.55,1
12409,66.0,3,11072.67,1
12410,253.0,2,693.3299999999999,2
12413,193.0,3,758.1,0
12414,189.0,3,562.41,0
12415,71.0,21,124914.53,1
12417,182.0,9,3649.1,1
12420,154.0,1,600.39,0
12422,216.0,3,803.5600000000001,0
12423,90.0,8,1859.31,1
12427,62.0,3,825.8,0
12428,33.0,9,7956.46,1
12429,455.0,4,3750.4,2
12431,3.0,15,6487.45,1
12433,90.0,7,13375.87,1
12436,336.0,1,509.01,2
12437,10.0,18,4951.41,1
12441,486.0,1,173.55,2
12442,182.0,1,172.06,0
12444,1.0,5,5005.46,1
12447,68.0,1,476.49,0
12449,93.0,4,4067.29,1
12450,187.0,2,197.88,0
12451,215.0,5,9035.52,1
12455,187.0,6,2466.86,1
12457,245.0,7,2363.23,1
12461,126.0,2,826.88,0
12462,100.0,2,1189.59,0
12463,7.0,4,1344.78,0
12464,284.0,8,1212.05,1
12468,219.0,2,729.5400000000001,0
12471,152.0,30,19824.05,1
12472,153.0,7,6572.11,1
12473,61.0,5,3938.5499999999997,1
12474,4.0,18,7375.79,1
12476,220.0,11,6816.42,1
12477,39.0,6,13219.74,1
12478,182.0,1,680.99,0
12480,30.0,4,3281.63,1
12481,163.0,10,5596.32,1
12483,36.0,8,2484.98,1
12484,153.0,6,4541.72,1
12489,163.0,1,334.93,0
